tanggal_panen,kebun,divisi,akp_panen,jumlah_tk_panen,luas_panen_ha,jjg_panen_jjg,jjg_kirim_jjg,ketrek,total_jjg_kirim_jjg,tonase_panen_kg,refraksi_kg,refraksi_persen,restant_jjg,bjr_hari_ini,output_kg_hk,output_ha_hk,budget_harian,timbang_kebun_harian,timbang_pks_harian,rotasi_panen,bjr_calc,akp_calc,acv0_prod,selisih
3/1/2025,PT. HSBS,INTI,0,0,0,0,864,0,864,11960,240,2.01,0,13.84,0,0,21722,12010,11960,13,13.84,0,55,-50
3/2/2025,PT. HSBS,INTI,67,16,25,2306,1993,0,1993,23430,703,3,313,11.76,1464.38,1.56,0,23880,23430,14,11.76,67,0,-450
3/3/2025,PT. HSBS,INTI,64,20,25,2185,2265,0,2265,32090,642,2,233,14.17,1604.5,1.25,21722,32490,32090,15,14.17,64,148,-400
3/4/2025,PT. HSBS,INTI,61,19,31,2551,2523,0,2523,31500,867,2.75,261,12.49,1657.89,1.63,21722,31860,31500,16,12.49,61,145,-360
3/5/2025,PT. HSBS,INTI,69,20,31,2875,3136,0,3136,39130,857,2.19,0,12.48,1956.5,1.55,21722,39710,39130,14,12.48,69,180,-580
3/6/2025,PT. HSBS,INTI,97,19,28,3732,3732,50,3782,30560,675,2.21,0,8.08,1608.42,1.47,21722,30930,30560,15,8.08,97,141,-370
3/7/2025,PT. HSBS,INTI,58,20,38,2936,2428,0,2428,30230,746,2.47,508,12.45,1511.5,1.9,21722,30570,30230,15,12.45,58,139,-340
3/8/2025,PT. HSBS,INTI,59,21,39,3067,3575,50,3625,39920,1105,2.77,0,11.01,1900.95,1.86,21722,40410,39920,13,11.01,59,184,-490
3/9/2025,PT. HSBS,INTI,69,13,24,2254,1834,24,1858,22510,515,2.29,420,12.12,1731.54,1.85,0,22710,22510,14,12.12,69,0,-200
3/10/2025,PT. HSBS,INTI,74,21,36,3608,3961,0,3961,45740,1071,2.34,67,11.55,2178.1,1.71,21722,46620,45740,14,11.55,74,211,-880
3/11/2025,PT. HSBS,INTI,83,21,32,3616,3550,25,3575,41840,1370,3.27,133,11.7,1992.38,1.52,21722,42450,41840,15,11.7,83,193,-610
3/12/2025,PT. HSBS,INTI,64,19,35,3027,2974,0,2974,40290,806,2,186,13.55,2120.53,1.84,21722,40850,40290,14,13.55,64,185,-560
3/13/2025,PT. HSBS,INTI,52,20,45,3133,3319,0,3319,40560,970,2.39,0,12.22,2028,2.25,21722,41220,40560,14,12.22,52,187,-660
3/14/2025,PT. HSBS,INTI,51,20,36,2453,2453,0,2453,34880,1191,3.41,0,14.22,1744,1.8,21722,35360,34880,12,14.22,51,161,-480
3/15/2025,PT. HSBS,INTI,48,11,18,1154,1154,0,1154,15800,316,2,0,13.69,1436.36,1.64,21722,15930,15800,13,13.69,48,73,-130
3/16/2025,PT. HSBS,INTI,75,16,24,2404,2014,0,2014,28300,425,1.5,390,14.05,1768.75,1.5,0,28750,28300,14,14.05,75,0,-450
3/17/2025,PT. HSBS,INTI,56,19,33,2514,2904,0,2904,35820,145,0.4,0,12.33,1885.26,1.74,21722,36510,35820,15,12.33,56,165,-690
